1862,8,29,Friday,DWR_1862_08-24.jpg
NAIRN,30.27,55,54,0.29
ABERDEEN,30.2,54,53,0
LEITH,30.22,57,56,0
BERWICK,30.25,60,57,0
ARDROSSAN,?30.03,58,56,0
PORTRUSH,30.15,58,55,0
GALWAY,30.25,54,51,0
VALENTIA,30.23,61,57,0
QUEENSTOWN,30.21,58,56,0
HOLYHEAD,30.18,57,54,0
LIVERPOOL,30.2,60,57,0
PEMBROKE,30.2,58,57,0
PENZANCE,30.18,60,59,0
PLYMOUTH,30.16,60,57,0
JERSEY,30.16,62,60,0
WEYMOUTH,30.14,62,58,0.09
PORTSMOUTH,30.13,60,56,0
DOVER,30.11,63,59,0
LONDON,30.16,60,57,0
YARMOUTH,30.14,57,55,0
SCARBOROUGH,30.21,58,56,0
SHIELDS,30.23,58,54,0
HELIGOLAND,30.1,60,58,0
HELDER,30.12,57,999,0
COPENHAGEN,999,999,999,999
BREST,30.17,57,999,0
BAYONNE,999,64,999,0
LISBON,30.05,69,999,0
