1862,9,24,Wednesday,DWR_1862_09-21.jpg
NAIRN,30.05,48,46,0
ABERDEEN,30.09,54,50,0
LEITH,30.05,53,49,0
BERWICK,30.09,56,52,0
ARDROSSAN,29.97,51,49,0
PORTRUSH,29.98,57,54,0
GALWAY,29.75,58,57,0
VALENTIA,29.69,60,59,0.62
QUEENSTOWN,29.7,?60,59,0.56
HOLYHEAD,29.86,56,54,0
LIVERPOOL,29.98,53,49,0
PEMBROKE,29.86,57,56,0.24
PENZANCE,29.81,60,59,0.67
PLYMOUTH,29.85,60,59,0.41
JERSEY,29.92,63,62,0
WEYMOUTH,29.9,60,58,0.07
PORTSMOUTH,29.91,58,55,0
DOVER,29.99,60,58,0
LONDON,29.98,56,54,0
YARMOUTH,30.04,58,53,0
SCARBOROUGH,30.02,55,51,0
SHIELDS,30.07,54,50,0
HELIGOLAND,30.05,56,52,0
HELDER,30.09,54,999,0
COPENHAGEN,29.93,50,999,0
BREST,29.79,63,999,0
BAYONNE,999,999,999,0
LISBON,29.84,56,999,0
