1862,8,15,Friday,DWR_1862_08-12.jpg
NAIRN,29.85,54,53,0.33
ABERDEEN,29.83,56,55,0.5
LEITH,29.82,58,57,0
BERWICK,29.82,59,57,0.13
ARDROSSAN,29.8,59,58,0
PORTRUSH,29.85,56,53,0
GALWAY,29.89,57,56,0
VALENTIA,29.92,59,57,0
QUEENSTOWN,29.87,61,60,0
HOLYHEAD,29.8,58,56,0
LIVERPOOL,29.82,58,56,0.03
PEMBROKE,29.8,60,59,0.1
PENZANCE,29.81,62,61,0.27
PLYMOUTH,29.79,63,61,0
JERSEY,29.83,60,59,0.11
WEYMOUTH,29.79,61,58,0.06
PORTSMOUTH,29.76,62,59,0
DOVER,29.81,62,60,0
LONDON,29.8,59,57,0.05
YARMOUTH,29.79,62,60,0
SCARBOROUGH,29.79,60,59,0
SHIELDS,29.8,59,57,0.14
HELIGOLAND,29.9,62,61,0
HELDER,29.82,61,999,0
COPENHAGEN,999,63,999,0
BREST,29.81,59,999,0
BAYONNE,999,64,999,0
LISBON,999,999,999,999
