1863,5,20,Wednesday,DWR_1863_05-16.jpg
NAIRN,30.4,45,3,0
ABERDEEN,30.38,46,4,0.12
LEITH,30.34,47,4,0
ARDROSSAN,30.31,46,3,0
PORTRUSH,30.31,48,2,0
GALWAY,30.2,47,3,0
VALENTIA,30.08,47,3,0
QUEENSTOWN,30.07,49,1,0.06
HOLYHEAD,30.14,44,3,0
LIVERPOOL,30.21,47,6,0
PEMBROKE,30.07,47,3,0.16
PENZANCE,29.94,50,1,0.55
BREST,29.92,55,5,0.12
LORIENT,29.92,57,2,0.39
ROCHEFORT,29.96,54,2,0.59
PLYMOUTH,29.98,49,2,0
WEYMOUTH,30.03,45,1,0.13
PORTSMOUTH,30.01,45,1,0.43
KEW,30.07,45,1,0
LONDON,30.05,45,1,0.2
DOVER,30,48,1,0.8
YARMOUTH,30.05,52,3,0
SCARBOROUGH,30.21,48,3,0
SHIELDS,30.32,48,5,0
HELIGOLAND,30.08,49,2,0
COPENHAGEN,30.13,46,999,0
HELDER,30.02,52,999,0
LISBON,29.86,61,999,0
