1862,10,23,Thursday,DWR_1862_10-19.jpg
NAIRN,28.64,35,34,0.17
ABERDEEN,28.67,40,39,0
LEITH,28.54,43,41,0
BERWICK,28.7,46,42,0
ARDROSSAN,28.49,50,47,0.4
PORTRUSH,999,999,999,999
GALWAY,999,999,999,999
VALENTIA,999,999,999,999
QUEENSTOWN,29.3,50,48,0
HOLYHEAD,28.91,48,45,0
LIVERPOOL,29.01,48,43,0.13
PEMBROKE,29.31,56,50,0.21
PENZANCE,29.56,51,50,0.2
PLYMOUTH,29.5,50,48,0.27
JERSEY,29.64,54,50,1
WEYMOUTH,29.43,53,49,0.09
PORTSMOUTH,29.44,52,48,0.22
DOVER,29.42,52,49,0
LONDON,29.37,49,45,0.02
YARMOUTH,29.25,47,45,0
SCARBOROUGH,28.95,46,42,0
SHIELDS,28.81,43,40,0
HELIGOLAND,29.21,50,48,0.41
HELDER,29.28,52,999,0
COPENHAGEN,29.12,48,999,0
BREST,29.71,53,999,0
BAYONNE,999,60,999,0
LISBON,30.17,60,999,0
