1863,8,11,Tuesday,DWR_1863_08-9.jpg
NAIRN,29.82,49,1,0.85
ABERDEEN,29.75,51,2,0.1
LEITH,29.84,56,3,0
SHIELDS,29.84,61,6,0
SCARBOROUGH,29.92,63,3,0
GREENCASTLE,29.97,56,4,0.12
GALWAY,30.11,62,999,0
VALENTIA,30.09,60,5,0
QUEENSTOWN,30.12,61,2,0
LIVERPOOL,29.96,60,3,0.12
HOLYHEAD,29.98,57,2,0
PEMBROKE,30.02,61,2,0.16
PENZANCE,30.1,62,1,0
BREST,30.12,64,3,0
LORIENT,30.08,64,2,0
ROCHEFORT,30.16,68,1,0
PLYMOUTH,30.09,64,3,0
WEYMOUTH,30.05,65,4,0
PORTSMOUTH,30.03,65,3,0
LONDON,30.02,66,5,0
DOVER,30.03,70,3,0
YARMOUTH,29.94,65,7,0
HELIGOLAND,29.94,62,1,0
