1861,11,28,Thursday,DWR_1861_11-29.jpg
NAIRN,29.53,37,35,
ABERDEEN,29.66,34,33,
LEITH,29.74,39,36,
BERWICK,29.74,39,36,
ARDROSSAN,29.73,42,39,
PORTRUSH,29.73,38,36,
SHIELDS,29.83,35,33,
GALWAY,29.86,40,39,
SCARBOROUGH,29.86,36,35,
LIVERPOOL,29.92,38,36,
VALENTIA,29.92,39,37,
QUEENSTOWN,29.95,38,37,
YARMOUTH,29.94,35,34,
LONDON,29.98,40,39,
DOVER,29.96,41,40,
PORTSMOUTH,29.99,44,42,
PORTLAND,29.97,43,42,
PLYMOUTH,29.93,41,40,
PENZANCE,30.01,43,42,
COPENHAGEN,999,999,999,
HELDER,999,999,999,
BREST,999,999,999,
BAYONNE,999,999,999,
LISBON,999,999,999,
