1862,9,4,Thursday,DWR_1862_09-3.jpg
NAIRN,29.54,53,52,0.6
ABERDEEN,29.53,54,52,0.6
LEITH,29.56,56,54,0
BERWICK,29.56,57,54,0.58
ARDROSSAN,29.51,55,52,0.79
PORTRUSH,29.75,57,53,0
GALWAY,29.97,53,52,0.1
VALENTIA,30.05,57,54,0.13
QUEENSTOWN,29.98,55,54,0
HOLYHEAD,29.79,54,52,0
LIVERPOOL,29.76,56,53,1.32
PEMBROKE,29.88,57,56,0
PENZANCE,29.93,57,56,0
PLYMOUTH,29.87,57,54,0
JERSEY,29.79,51,49,0
WEYMOUTH,29.83,58,55,0.11
PORTSMOUTH,29.79,56,52,0
DOVER,29.79,59,55,0
LONDON,29.81,54,52,0
YARMOUTH,29.76,55,52,0
SCARBOROUGH,29.62,56,54,0.26
SHIELDS,29.63,55,53,0.45
HELIGOLAND,29.82,60,58,0
HELDER,29.8,57,999,0
COPENHAGEN,29.9,59,999,0
BREST,29.85,50,999,0
BAYONNE,999,63,999,0
LISBON,30.09,63,999,0
