1863,9,23,Wednesday,DWR_1863_09-19.jpg
NAIRN,29.16,45,0,1.08
ABERDEEN,29.1,52,2,0
LEITH,29.07,50,2,0.45
SHIELDS,29,52,3,0.37
SCARBOROUGH,28.96,49,2,0
GREENCASTLE,29.13,49,2,0.85
GALWAY,29.18,50,0,0.25
VALENTIA,29.3,52,3,0.24
QUEENSTOWN,999,52,2,0
LIVERPOOL,29.03,50,5,0.23
HOLYHEAD,29.01,51,3,1.2
PEMBROKE,29.1,51,3,0.15
PENZANCE,29.24,53,2,0
BREST,29.29,52,2,0.2
LORIENT,29.25,50,1,0
ROCHEFORT,29.37,52,0,0.43
PLYMOUTH,29.19,53,4,0
WEYMOUTH,29.15,52,4,0.08
PORTSMOUTH,29.11,53,4,0.09
LONDON,29.1,47,2,0.02
DOVER,29.16,999,999,0
YARMOUTH,29.07,47,2,0
HELIGOLAND,29.18,53,1,0
