1863,9,21,Monday,DWR_1863_09-17.jpg
NAIRN,28.88,46,2,0.35
ABERDEEN,28.87,48,3,0
LEITH,28.91,51,2,0.17
SHIELDS,28.98,52,4,0
SCARBOROUGH,29.05,48,2,0.46
GREENCASTLE,29.04,53,1,0.53
GALWAY,29.24,53,2,0.45
VALENTIA,29.38,54,3,0.62
QUEENSTOWN,999,50,0,0.36
LIVERPOOL,29.1,52,3,0.23
HOLYHEAD,29.1,53,3,0.45
PEMBROKE,29.24,53,4,0.49
PENZANCE,29.37,53,2,0.6
BREST,29.49,54,2,0.56
LORIENT,29.49,55,2,0.12
ROCHEFORT,29.69,63,2,0.35
PLYMOUTH,29.33,54,3,0.52
WEYMOUTH,29.27,51,3,0.67
PORTSMOUTH,29.26,54,4,0.7
LONDON,29.24,51,4,0.68
DOVER,29.24,55,2,0
YARMOUTH,29.22,50,2,0.47
HELIGOLAND,29.27,51,0,0.65
