1863,7,13,Monday,DWR_1863_07-10.jpg
NAIRN,30.48,58,7,0
ABERDEEN,30.45,60,4,0
LEITH,30.48,63,5,0
SHIELDS,30.53,61,5,0
SCARBOROUGH,30.5,60,3,0
GREENCASTLE,30.6,56,3,0.1
GALWAY,30.59,58,7,0
VALENTIA,30.54,61,7,0
QUEENSTOWN,30.52,61,3,0
LIVERPOOL,30.52,64,5,0
HOLYHEAD,30.48,58,1,0
PEMBROKE,30.48,68,4,0
PENZANCE,30.44,66,1,0
BREST,30.39,66,6,0
LORIENT,30.28,66,4,0
ROCHEFORT,30.28,70,7,0
PLYMOUTH,30.44,69,7,0
WEYMOUTH,30.45,68,5,0
PORTSMOUTH,30.42,67,6,0
LONDON,30.46,64,6,0
DOVER,30.44,62,999,0
YARMOUTH,30.47,61,5,0
HELDER,30.4,60,999,0
HELIGOLAND,30.32,59,1,0
