1862,3,15,Saturday,DWR_1862_03-11.jpg
NAIRN,30.32,40,39,0
ABERDEEN,30.36,42,41,0
LEITH,30.31,44,43,0
BERWICK,30.34,44,40,0
ARDROSSAN,30.28,43,41,0
PORTRUSH,30.29,44,43,0
GALWAY,30.24,43,42,0
SHIELDS,30.32,42,40,0
SCARBOROUGH,30.29,41,40,0
HELIGOLAND,30.37,34,33,0
LIVERPOOL,30.24,44,42,0
QUEENSTOWN,30.17,49,48,0
VALENTIA,30.18,46,44,0
YARMOUTH,30.22,41,39,0
LONDON,30.17,44,42,0
DOVER,30.13,41,40,0
PORTSMOUTH,30.07,45,43,0
PORTLAND,30.09,45,44,0
PLYMOUTH,30.03,46,45,0
PENZANCE,30.07,45,43,0
JERSEY,30.07,45,44,0
COPENHAGEN,30.42,33,999,0
HELDER,30.23,41,999,0
BREST,29.93,47,999,0
BAYONNE,999,48,999,0
LISBON,29.97,58,999,0
