1862,3,26,Wednesday,DWR_1862_03-20.jpg
NAIRN,29.74,33,31,0
ABERDEEN,29.73,39,35,0
LEITH,29.66,39,37,0
BERWICK,29.67,42,39,0.21
ARDROSSAN,29.59,39,37,0
PORTRUSH,29.56,41,39,0
GALWAY,29.42,43,42,0
SHIELDS,29.62,38,37,0
SCARBOROUGH,29.59,40,39,0.35
HELIGOLAND,29.64,36,35,0
LIVERPOOL,29.53,43,41,0.31
QUEENSTOWN,29.39,53,52,0
VALENTIA,29.31,50,49,0.17
YARMOUTH,29.57,48,47,0.58
LONDON,29.57,49,48,0.08
DOVER,29.59,53,52,0
PORTSMOUTH,29.49,47,46,0
PORTLAND,29.51,48,47,0.06
PLYMOUTH,29.42,51,50,0
PENZANCE,29.41,51,50,0.3
JERSEY,29.5,52,51,0
COPENHAGEN,29.72,999,999,0
HELDER,29.57,47,999,0
BREST,29.42,54,999,0
BAYONNE,999,64,999,0
LISBON,999,999,999,999
