1863,9,18,Friday,DWR_1863_09-15.jpg
NAIRN,29.67,?58,5,0
ABERDEEN,29.75,57,2,0.13
LEITH,999,999,999,999
SHIELDS,29.94,59,4,0
SCARBOROUGH,29.98,56,3,0
GREENCASTLE,29.82,56,1,0
GALWAY,29.87,58,0,0
VALENTIA,29.96,59,1,0.08
QUEENSTOWN,999,60,1,0
LIVERPOOL,30.02,58,4,0
HOLYHEAD,29.97,57,1,0
PEMBROKE,30.07,58,2,0
PENZANCE,30.12,59,3,0
BREST,30.12,55,2,0
LORIENT,30.04,54,2,0
ROCHEFORT,30.04,54,0,0
PLYMOUTH,30.11,61,5,0
WEYMOUTH,30.13,57,3,0
PORTSMOUTH,30.11,58,4,0
LONDON,30.12,56,5,0
DOVER,30.15,999,999,0
YARMOUTH,30.08,54,2,0
HELIGOLAND,30.02,58,1,0
