1862,1,14,Tuesday,DWR_1862_01-13.jpg
NAIRN,29.66,37,36,999
ABERDEEN,29.68,39,38,999
LEITH,29.68,42,40,999
BERWICK,29.64,38,35,999
ARDROSSAN,29.75,40,39,0.25
PORTRUSH,29.74,43,41,999
SHIELDS,29.67,39,38,999
GALWAY,29.85,37,36,999
SCARBOROUGH,29.65,42,41,999
LIVERPOOL,29.66,38,37,0.33
VALENTIA,29.95,42,40,0.43
QUEENSTOWN,29.94,39,38,999
YARMOUTH,29.62,41,40,999
LONDON,29.54,43,42,0.11
DOVER,29.58,43,42,999
PORTSMOUTH,29.59,42,41,999
PORTLAND,29.64,44,41,0.25
PLYMOUTH,29.72,42,39,999
PENZANCE,29.84,43,41,0.35
COPENHAGEN,29.98,26,999,999
HELDER,29.71,35,999,999
BREST,29.82,44,999,999
BAYONNE,29.87,48,999,999
LISBON,30.22,52,999,999
