1863,5,5,Tuesday,DWR_1863_05-3.jpg
NAIRN,29.54,43,3,0.08
ABERDEEN,29.55,43,4,0
LEITH,29.64,48,6,0.16
ARDROSSAN,29.73,46,5,0.16
PORTRUSH,29.77,48,2,0
GALWAY,29.93,49,3,0.1
VALENTIA,29.98,50,3,0.07
QUEENSTOWN,29.94,54,1,0
HOLYHEAD,29.81,49,3,0
LIVERPOOL,29.77,51,2,0.05
PEMBROKE,29.9,53,2,0
PENZANCE,29.99,54,1,0
BREST,30.04,54,999,0.04
LORIENT,30,50,3,0
ROCHEFORT,30,55,4,0
PLYMOUTH,29.96,55,2,0
WEYMOUTH,29.91,55,3,0
PORTSMOUTH,29.87,56,3,0
KEW,29.85,56,4,0
LONDON,29.84,56,4,0
DOVER,29.86,60,2,0
YARMOUTH,29.75,58,4,0
SCARBOROUGH,29.59,53,1,0
SHIELDS,29.65,49,5,0.25
HELIGOLAND,29.69,51,1,0
COPENHAGEN,29.62,51,999,0
HELDER,29.74,54,999,0
LISBON,30.04,61,999,0
