1863,6,13,Saturday,DWR_1863_06-11.jpg
NAIRN,29.82,56,2,0.13
ABERDEEN,29.8,57,4,0
LEITH,29.78,54,2,0
ARDROSSAN,29.81,54,2,0.43
GREENCASTLE,29.84,52,3,0
GALWAY,29.9,62,999,0
VALENTIA,29.9,61,6,0.07
QUEENSTOWN,29.92,52,2,0
SHIELDS,29.77,54,2,0.12
SCARBOROUGH,29.69,53,1,0.32
LIVERPOOL,29.75,56,3,0.51
HOLYHEAD,29.79,53,2,0.25
PEMBROKE,29.85,53,3,0.27
PENZANCE,29.95,56,1,0.2
BREST,29.96,55,3,0.04
LORIENT,29.92,55,3,0
ROCHEFORT,30.04,57,2,0
BAYONNE,30,64,999,0
PLYMOUTH,29.87,58,3,0.55
WEYMOUTH,29.81,56,3,0
PORTSMOUTH,29.75,56,2,0.24
LONDON,29.73,55,3,0.15
DOVER,29.74,60,4,0.43
YARMOUTH,29.67,56,4,0.48
HELDER,29.69,54,999,0
HELIGOLAND,29.71,53,1,0
COPENHAGEN,29.64,58,999,0
LISBON,999,999,999,999
