1862,7,10,Thursday,DWR_1862_07-10.jpg
NAIRN,29.56,55,51,0
ABERDEEN,29.54,57,51,0
LEITH,29.59,59,56,0
BERWICK,29.6,57,54,0.18
ARDROSSAN,29.59,55,53,0.42
PORTRUSH,29.72,53,51,1
GALWAY,29.85,59,56,0
VALENTIA,29.96,60,57,0.25
QUEENSTOWN,29.88,59,57,0.35
MILFORD,29.84,57,55,0.45
HOLYHEAD,29.71,56,54,0
LIVERPOOL,29.72,57,54,0.11
PENZANCE,29.97,59,57,0.25
PLYMOUTH,29.87,59,56,0.24
JERSEY,29.99,62,58,0.08
PORTLAND,29.85,61,57,0.09
PORTSMOUTH,29.81,59,56,0.2
DOVER,29.79,64,61,0.15
LONDON,29.78,58,55,0.22
YARMOUTH,29.67,61,57,0
SCARBOROUGH,29.61,60,57,0.47
SHIELDS,29.63,58,55,0
HELIGOLAND,29.69,58,57,0.46
HELDER,29.72,61,999,0
COPENHAGEN,29.63,59,999,0
BREST,30.02,57,999,0
BAYONNE,999,67,999,0
LISBON,30.16,76,999,0
