1863,4,7,Tuesday,DWR_1863_04-5.jpg
NAIRN,29.21,39,3,0
ABERDEEN,29.22,40,2,0
LEITH,29.26,43,4,0
ARDROSSAN,29.25,42,2,0.06
PORTRUSH,29.25,42,1,0
GALWAY,29.32,44,1,0.35
VALENTIA,29.4,47,2,0.3
QUEENSTOWN,29.44,45,1,0
HOLYHEAD,29.35,45,2,0
LIVERPOOL,29.39,44,3,0.06
PEMBROKE,29.44,45,4,0.19
PENZANCE,29.54,45,1,0.5
BREST,29.65,48,5,0
LORIENT,29.61,48,2,0.08
ROCHEFORT,29.8,50,2,0.12
PLYMOUTH,29.53,50,999,0.45
WEYMOUTH,29.53,47,4,0.33
PORTSMOUTH,29.5,45,999,0.15
KEW,29.5,44,2,0
LONDON,29.48,46,3,0.03
DOVER,29.51,49,2,0
YARMOUTH,29.42,45,3,0
SCARBOROUGH,29.33,44,1,0
SHIELDS,29.34,44,3,0
HELIGOLAND,29.52,45,1,0
COPENHAGEN,29.65,46,999,0
HELDER,29.4,48,999,0
LISBON,30.14,58,999,0
