1862,1,10,Friday,DWR_1862_01-9.jpg
NAIRN,29.07,40,38,0.24
ABERDEEN,29.19,39,38,0.1
LEITH,29.31,44,41,999
BERWICK,29.23,46,43,999
ARDROSSAN,29.38,46,43,999
PORTRUSH,29.45,43,42,999
SHIELDS,29.43,45,43,999
GALWAY,29.65,45,44,999
SCARBOROUGH,29.49,45,43,999
LIVERPOOL,29.6,48,45,0.08
VALENTIA,29.75,48,46,999
QUEENSTOWN,29.74,45,44,999
YARMOUTH,29.62,47,45,999
LONDON,29.71,50,48,0.07
DOVER,29.75,49,48,0.15
PORTSMOUTH,29.78,49,48,999
PORTLAND,29.79,50,48,0.05
PLYMOUTH,29.81,49,48,999
PENZANCE,29.86,51,50,0.2
COPENHAGEN,29.26,37,999,999
HELDER,29.58,46,999,999
BREST,29.97,54,999,999
BAYONNE,30.35,55,999,999
LISBON,30.45,53,999,999
