1862,4,25,Friday,DWR_1862_04-20.jpg
NAIRN,29.87,44,43,0
ABERDEEN,29.85,46,43,0
LEITH,29.8,46,45,0
BERWICK,29.82,51,48,0.5
ARDROSSAN,29.79,49,47,0.15
PORTRUSH,29.85,49,47,0
GALWAY,29.83,52,49,0
SHIELDS,29.79,48,46,0.09
SCARBOROUGH,29.8,53,51,0.23
HELIGOLAND,29.95,50,48,0
LIVERPOOL,29.82,54,52,0.27
QUEENSTOWN,29.91,52,50,0
VALENTIA,29.92,51,47,0
YARMOUTH,29.9,55,53,0
LONDON,29.9,56,55,0.09
DOVER,29.91,56,55,0
PORTSMOUTH,29.88,55,53,0
PORTLAND,29.88,54,53,0.3
PLYMOUTH,29.85,58,56,0
PENZANCE,29.89,54,53,0
JERSEY,999,999,999,999
COPENHAGEN,29.98,47,999,0
HELDER,29.92,58,999,0
BREST,29.9,61,999,0
BAYONNE,999,68,999,0
LISBON,29.98,60,999,0
