1863,5,29,Friday,DWR_1863_05-24.jpg
NAIRN,29.87,58,4,0.13
ABERDEEN,29.86,63,8,0.08
LEITH,29.97,60,4,0
ARDROSSAN,30.04,56,2,0
PORTRUSH,30.1,55,2,0
GALWAY,30.24,56,3,0.15
VALENTIA,30.31,58,1,0
QUEENSTOWN,30.21,50,999,0
HOLYHEAD,30.19,55,1,0
LIVERPOOL,30.2,60,4,0
PEMBROKE,30.32,54,1,0
PENZANCE,30.36,58,1,0
BREST,30.36,54,1,0
LORIENT,30.28,54,2,0
ROCHEFORT,30.24,57,2,0
PLYMOUTH,30.35,58,3,0
WEYMOUTH,30.31,56,2,0
PORTSMOUTH,30.27,58,3,0
KEW,30.27,58,1,0
LONDON,30.26,55,3,0
DOVER,30.27,63,2,0
YARMOUTH,30.19,60,4,0
SCARBOROUGH,30.09,60,3,0
SHIELDS,30.09,60,3,0
HELIGOLAND,30.11,55,1,0
COPENHAGEN,29.91,52,999,0
HELDER,30.17,57,999,0
LISBON,30.1,67,999,0
