1862,11,1,Saturday,DWR_1862_11-0.jpg
NAIRN,29.75,47,1,0
ABERDEEN,29.82,50,1,0
LEITH,29.79,52,3,0
BERWICK,29.87,49,2,0
ARDROSSAN,29.78,50,2,0.22
PORTRUSH,999,999,999,999
GALWAY,29.86,39,1,0.5
VALENTIA,29.89,43,1,0.14
QUEENSTOWN,29.91,42,1,0
HOLYHEAD,29.85,50,1,0.2
LIVERPOOL,29.88,51,1,0
PEMBROKE,29.89,49,1,0.31
PENZANCE,29.94,49,1,0.1
PLYMOUTH,29.8,51,2,0
JERSEY,29.87,53,0,0
WEYMOUTH,29.87,56,1,0
PORTSMOUTH,29.86,54,1,0
DOVER,29.9,55,1,0
LONDON,29.92,52,1,0
YARMOUTH,29.95,53,1,0
SCARBOROUGH,29.92,51,1,0
SHIELDS,29.89,50,2,0
HELIGOLAND,29.99,50,1,0
HELDER,29.93,48,999,0
COPENHAGEN,30.09,48,999,0
BREST,29.85,53,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,59,999,999
LISBON,29.9,59,999,999
