1863,7,28,Tuesday,DWR_1863_07-23.jpg
NAIRN,30.02,60,3,0
ABERDEEN,30.03,59,3,0
LEITH,30.03,63,4,0
SHIELDS,30.09,62,5,0
SCARBOROUGH,30.07,61,2,0
GREENCASTLE,30.09,60,2,0.08
GALWAY,30.13,65,1,0
VALENTIA,30.13,62,4,0
QUEENSTOWN,30.11,63,1,0
LIVERPOOL,30.11,63,4,0
HOLYHEAD,30.07,61,2,0
PEMBROKE,30.12,58,3,0
PENZANCE,30.13,61,2,0
BREST,30.04,64,4,0
LORIENT,29.96,61,5,0
ROCHEFORT,30.04,61,4,0
PLYMOUTH,30.1,62,2,0
WEYMOUTH,30.1,63,4,0
PORTSMOUTH,30.09,63,4,0
LONDON,30.12,63,4,0
DOVER,30.14,66,3,0
YARMOUTH,30.09,61,4,0
HELDER,30.17,58,999,0
HELIGOLAND,30.15,57,2,0
