1862,7,18,Friday,DWR_1862_07-19.jpg
NAIRN,29.48,57,53,0.2
ABERDEEN,29.51,57,51,0.09
LEITH,29.64,55,51,0
BERWICK,29.67,57,52,0.16
ARDROSSAN,29.68,55,52,0.48
PORTRUSH,29.69,53,50,0
GALWAY,29.84,57,55,0
VALENTIA,29.89,61,58,999
QUEENSTOWN,29.93,57,55,0
MILFORD,29.93,57,54,0.61
HOLYHEAD,29.84,56,54,0.3
LIVERPOOL,29.86,56,51,0.21
PENZANCE,30.03,57,56,0.55
PLYMOUTH,30,59,54,0.6
JERSEY,30.05,61,58,0.15
PORTLAND,?29.98,60,56,0.06
PORTSMOUTH,29.95,60,55,0.11
DOVER,29.94,61,59,0
LONDON,29.93,59,55,999
YARMOUTH,29.9,61,57,0
SCARBOROUGH,29.79,58,54,0.15
SHIELDS,29.73,56,51,0
HELIGOLAND,29.99,59,57,0
HELDER,29.95,61,999,0
COPENHAGEN,30.06,64,999,0
BREST,30.04,57,999,0
BAYONNE,999,68,999,0
LISBON,30.14,69,999,0
