1863,2,26,Thursday,DWR_1863_02-21.jpg
NAIRN,29.7,47,3,0
ABERDEEN,29.81,48,3,0
LEITH,29.93,48,3,0
ARDROSSAN,29.97,46,4,0.09
PORTRUSH,29.94,42,1,0
GALWAY,30.09,49,1,0.15
VALENTIA,30.19,49,1,0
QUEENSTOWN,30.24,51,1,0
HOLYHEAD,30.19,47,1,0.09
LIVERPOOL,30.26,48,4,0
PEMBROKE,30.38,48,3,0
PENZANCE,30.45,49,1,0
BREST,30.47,41,1,0
LORIENT,30.43,36,1,0
ROCHEFORT,30.47,37,3,0
PLYMOUTH,30.46,49,3,0
WEYMOUTH,30.45,47,3,0
PORTSMOUTH,30.43,45,3,0
KEW,30.44,43,3,0
LONDON,30.44,43,3,0
YARMOUTH,30.4,44,1,0
SCARBOROUGH,30.23,44,2,0
SHIELDS,30.18,49,4,0
HELIGOLAND,30.37,42,0,0
COPENHAGEN,30.24,39,999,0
HELDER,30.41,44,999,0
BAYONNE,999,37,999,0
LISBON,30.24,48,999,0
