1862,10,2,Thursday,DWR_1862_10-1.jpg
NAIRN,29.68,53,51,0.13
ABERDEEN,29.69,57,56,0
LEITH,29.75,61,58,0
BERWICK,29.8,59,57,0
ARDROSSAN,29.97,59,57,0.36
PORTRUSH,29.81,58,56,0
GALWAY,29.91,57,56,0.48
VALENTIA,30.07,60,59,1.08
QUEENSTOWN,30.04,62,60,0.75
HOLYHEAD,29.9,60,59,0.45
LIVERPOOL,29.96,61,58,0.16
PEMBROKE,29.9,60,58,0.37
PENZANCE,30.22,60,59,0.17
PLYMOUTH,30.19,60,59,0
JERSEY,30.32,61,59,0
WEYMOUTH,30.18,61,59,0.08
PORTSMOUTH,30.16,60,58,0.09
DOVER,30.19,59,57,0
LONDON,30.16,60,58,0
YARMOUTH,30.21,57,56,0
SCARBOROUGH,29.94,58,56,0
SHIELDS,29.87,59,56,0
HELIGOLAND,30.22,56,54,0
HELDER,30.2,56,999,0
COPENHAGEN,30.21,54,999,0
BREST,30.33,60,999,0
BAYONNE,999,62,999,0
LISBON,999,999,999,999
