1862,4,23,Wednesday,DWR_1862_04-18.jpg
NAIRN,29.17,51,47,0.25
ABERDEEN,?29.25,52,47,0
LEITH,29.28,52,49,0
BERWICK,29.29,52,48,0
ARDROSSAN,29.31,49,47,0.23
PORTRUSH,29.35,49,48,0
GALWAY,29.5,54,52,0
SHIELDS,29.37,50,46,0
SCARBOROUGH,29.43,51,48,0.15
HELIGOLAND,29.45,47,46,0
LIVERPOOL,29.53,52,46,0
QUEENSTOWN,29.63,52,50,0
VALENTIA,29.67,53,49,0.15
YARMOUTH,29.57,51,48,0
LONDON,29.67,51,47,0.1
DOVER,29.71,57,53,0.15
PORTSMOUTH,29.73,47,46,0.31
PORTLAND,29.75,52,49,0.3
PLYMOUTH,29.75,53,49,0
PENZANCE,29.81,53,50,0
JERSEY,29.91,53,50,0.21
COPENHAGEN,29.29,50,999,0
HELDER,29.55,50,999,0
BREST,29.92,50,999,0
BAYONNE,999,59,999,0
LISBON,30.2,62,999,0
