1863,3,21,Saturday,DWR_1863_03-18.jpg
NAIRN,30.01,42,3,0.2
ABERDEEN,30.02,44,4,0.09
LEITH,30.06,45,4,0
ARDROSSAN,30.11,45,1,0.45
PORTRUSH,30.12,44,1,0
GALWAY,30.19,48,0,0
VALENTIA,30.28,51,0,0.11
QUEENSTOWN,30.27,49,1,0
HOLYHEAD,30.16,42,2,0
LIVERPOOL,30.16,46,3,0
PEMBROKE,30.23,46,2,0
PENZANCE,30.31,48,1,0
BREST,30.28,48,4,0
LORIENT,30.2,48,3,0
ROCHEFORT,30.24,46,1,0.12
PLYMOUTH,30.25,47,3,0
WEYMOUTH,30.16,47,4,0
PORTSMOUTH,29.97,44,3,0
KEW,30.06,46,5,0
LONDON,30.03,45,4,0
YARMOUTH,29.89,45,2,0.55
SCARBOROUGH,29.98,45,2,0
SHIELDS,30.06,45,2,0
HELIGOLAND,29.71,41,0,0.23
COPENHAGEN,29.83,37,999,0
HELDER,29.71,45,999,0
LISBON,999,999,999,999
