1863,10,24,Saturday,DWR_1863_10-20.jpg
NAIRN,30.14,39,1,0
ABERDEEN,30.15,44,1,0
LEITH,30.2,48,3,0
SHIELDS,30.28,42,3,0
SCARBOROUGH,30.28,45,1,0
GREENCASTLE,30.14,50,1,0
GALWAY,30.12,50,1,0
VALENTIA,30.04,54,4,0
QUEENSTOWN,30.02,56,1,0
LIVERPOOL,30.26,42,1,0
HOLYHEAD,30.2,51,1,0
PEMBROKE,30.23,51,1,0
PENZANCE,30.2,55,2,0
BREST,30.16,54,2,0
LORIENT,30.12,50,2,0
ROCHEFORT,30.16,46,0,0
PLYMOUTH,30.22,54,3,0
WEYMOUTH,30.25,47,1,0
PORTSMOUTH,30.27,49,2,0
LONDON,30.3,40,2,0
DOVER,30.3,54,999,0
YARMOUTH,30.29,44,1,0
HELIGOLAND,30.19,50,1,0
