1862,1,13,Monday,DWR_1862_01-12.jpg
NAIRN,29.68,33,32,0.41
ABERDEEN,29.71,41,40,999
LEITH,29.72,43,41,999
BERWICK,29.73,41,39,0.17
ARDROSSAN,29.7,39,37,0.35
PORTRUSH,29.68,40,39,999
SHIELDS,29.73,40,39,999
GALWAY,29.7,44,43,999
SCARBOROUGH,29.72,42,41,0.22
LIVERPOOL,29.75,42,41,0.05
VALENTIA,29.73,47,46,0.5
QUEENSTOWN,29.82,44,43,999
YARMOUTH,29.73,43,42,0.5
LONDON,29.75,40,38,0.04
DOVER,29.72,43,41,999
PORTSMOUTH,29.8,40,39,999
PORTLAND,29.83,45,42,999
PLYMOUTH,29.84,42,41,999
PENZANCE,29.91,43,41,999
COPENHAGEN,29.9,28,999,999
HELDER,29.79,39,999,999
BREST,29.93,43,999,999
BAYONNE,30.06,45,999,999
LISBON,30.33,51,999,999
