1862,5,5,Monday,DWR_1862_05-5.jpg
NAIRN,29.89,51,48,0
ABERDEEN,29.94,49,48,0
LEITH,29.92,48,45,0
BERWICK,29.96,52,50,0
ARDROSSAN,29.88,49,47,0.4
PORTRUSH,29.86,55,54,0
GALWAY,29.83,54,53,0
SHIELDS,29.95,51,48,0
SCARBOROUGH,29.96,51,50,0
HELIGOLAND,30.09,48,47,0
LIVERPOOL,29.93,58,55,0.01
QUEENSTOWN,29.79,54,53,0
VALENTIA,29.75,53,50,0.5
YARMOUTH,30,59,56,0
LONDON,29.97,58,54,0.06
DOVER,29.99,64,61,0
PORTSMOUTH,29.96,55,54,0.08
PORTLAND,29.96,52,51,0.07
PLYMOUTH,29.88,55,53,0
PENZANCE,29.9,55,54,0
JERSEY,29.96,59,56,0
COPENHAGEN,30.24,52,999,0
HELDER,999,60,999,0
BREST,29.88,57,999,0
BAYONNE,999,66,999,0
LISBON,29.95,63,999,0
