1863,5,18,Monday,DWR_1863_05-14.jpg
NAIRN,30.03,42,2,0.15
ABERDEEN,30,45,5,0.25
LEITH,29.98,45,5,0.09
ARDROSSAN,30.04,46,2,0.62
PORTRUSH,30.01,49,2,1
GALWAY,29.98,51,0,0.45
VALENTIA,29.98,53,5,0.16
QUEENSTOWN,29.94,55,1,0.36
HOLYHEAD,29.89,53,2,0.22
LIVERPOOL,29.95,51,4,0.24
PEMBROKE,29.92,51,1,0.26
PENZANCE,29.91,54,1,0
BREST,29.88,54,3,0
LORIENT,29.8,52,4,0
ROCHEFORT,29.8,54,1,0.12
PLYMOUTH,29.91,54,4,0.4
WEYMOUTH,29.89,54,3,0.2
PORTSMOUTH,29.84,54,4,0.11
KEW,29.9,54,4,0
LONDON,29.89,54,3,0.03
DOVER,29.93,53,1,0.1
YARMOUTH,29.84,51,2,0
SCARBOROUGH,29.94,50,2,0.28
SHIELDS,30.01,47,3,0.4
HELIGOLAND,29.85,52,1,999
COPENHAGEN,29.8,61,999,999
HELDER,29.9,55,999,999
LISBON,29.99,58,999,999
