1862,9,17,Wednesday,DWR_1862_09-15.jpg
NAIRN,30.35,53,48,0
ABERDEEN,30.44,53,50,0
LEITH,30.44,54,51,0
BERWICK,30.49,54,51,0
ARDROSSAN,30.43,54,51,0
PORTRUSH,30.43,57,56,0
GALWAY,30.43,53,51,0
VALENTIA,30.45,62,58,0
QUEENSTOWN,30.45,55,53,0
HOLYHEAD,30.44,999,999,0
LIVERPOOL,999,56,52,0
PEMBROKE,30.46,51,50,0
PENZANCE,30.42,55,54,0
PLYMOUTH,30.4,58,53,0
JERSEY,30.32,59,55,0
WEYMOUTH,30.37,55,51,0
PORTSMOUTH,30.32,56,52,0
DOVER,30.29,60,52,0
LONDON,30.37,57,55,0
YARMOUTH,30.37,57,54,0
SCARBOROUGH,30.42,56,54,0
SHIELDS,30.48,55,52,0
HELIGOLAND,30.32,57,55,0
HELDER,?29.94,58,999,0
COPENHAGEN,30.32,56,999,0
BREST,30.29,55,999,0
BAYONNE,999,64,999,0
LISBON,999,999,999,999
