1863,6,17,Wednesday,DWR_1863_06-15.jpg
NAIRN,29.8,56,1,0.3
ABERDEEN,29.83,54,1,0.15
LEITH,29.8,58,3,0.34
ARDROSSAN,29.81,58,2,0.59
GREENCASTLE,29.75,57,2,1.2
GALWAY,29.82,59,1,0.2
VALENTIA,29.9,59,4,0.09
QUEENSTOWN,29.81,59,2,0.43
SHIELDS,29.85,58,3,0.5
SCARBOROUGH,29.81,60,4,0
LIVERPOOL,29.86,60,4,0.16
HOLYHEAD,29.81,56,1,0.16
PEMBROKE,29.88,57,1,0.36
PENZANCE,29.92,60,3,0.3
BREST,29.96,57,2,0.28
LORIENT,29.96,61,4,0.04
ROCHEFORT,30.08,63,2,0
BAYONNE,29.96,66,999,0
PLYMOUTH,29.96,58,1,0
WEYMOUTH,29.93,57,2,0.52
PORTSMOUTH,29.9,58,2,0.26
LONDON,29.89,58,3,0.21
DOVER,29.91,60,3,0.25
YARMOUTH,29.85,59,1,0.8
HELDER,29.87,59,999,0
HELIGOLAND,29.92,57,1,0
COPENHAGEN,29.9,58,999,0
LISBON,30.09,68,999,0
