1863,9,12,Saturday,DWR_1863_09-10.jpg
NAIRN,29.94,50,2,0
ABERDEEN,29.95,53,4,0
LEITH,30.01,55,3,0
SHIELDS,30.11,55,4,0
SCARBOROUGH,30.1,52,1,0
GREENCASTLE,30.06,54,1,0.08
GALWAY,30.16,54,0,0.5
VALENTIA,30.18,55,1,0.12
QUEENSTOWN,999,999,999,999
LIVERPOOL,30.18,55,3,0.01
HOLYHEAD,30.17,55,2,0
PEMBROKE,30.26,57,5,0
PENZANCE,30.31,55,2,0
BREST,30.32,50,1,0
LORIENT,30.24,46,2,0
ROCHEFORT,30.28,50,2,0
PLYMOUTH,999,56,4,0
WEYMOUTH,30.29,56,4,0
PORTSMOUTH,30.25,55,3,0
LONDON,30.25,52,4,0.01
DOVER,30.27,58,3,0
YARMOUTH,30.18,53,3,0
HELIGOLAND,30.08,54,4,0.04
