1863,9,14,Monday,DWR_1863_09-11.jpg
NAIRN,30.14,53,3,0
ABERDEEN,30.14,51,2,0
LEITH,30.2,56,3,0
SHIELDS,30.27,56,4,0
SCARBOROUGH,30.25,55,3,0
GREENCASTLE,30.31,54,2,0.08
GALWAY,30.4,56,1,0
VALENTIA,30.43,56,5,0.44
QUEENSTOWN,999,57,2,0
LIVERPOOL,30.34,57,3,0.04
HOLYHEAD,30.34,56,3,0
PEMBROKE,30.41,57,3,0.15
PENZANCE,30.45,56,2,0
BREST,30.39,57,0,0
LORIENT,30.32,52,2,0
ROCHEFORT,30.32,52,1,0
PLYMOUTH,30.43,54,4,0
WEYMOUTH,30.41,56,3,0
PORTSMOUTH,30.36,52,2,0
LONDON,30.36,51,3,0
DOVER,30.36,999,999,0
YARMOUTH,30.27,54,2,0
HELIGOLAND,999,999,999,999
