1874,9,10,Thursday,DWR_1874_09-21.jpg,,,,,
HAPARANDA,30.06,47,45, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND,29.47,59,58, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND,29.97,52,50, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD,29.2,52,51,55,50,0.21, NaN, NaN, NaN
WISBY,29.98,54,50, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES,999,55,53, NaN, NaN, NaN,29.59,58,54
THURSO,29.12,51,49,55,41,0.05,29.23,53,52
WICK,29.13,52,49,56,45,0.11, NaN, NaN, NaN
STORNOWAY,29.03,51,48,56,46,0, NaN, NaN, NaN
OXO,29.42,57,55, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN,29.5,58,999, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM,29.89,55,52, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN,999,999,999,999,999,999, NaN, NaN, NaN
ABERDEEN,29.18,51,49,55,45,0.07, NaN, NaN, NaN
LEITH,29.2,54,51,64,45,0, NaN, NaN, NaN
ARDROSSAN,29.15,54,50,60,52,0.05, NaN, NaN, NaN
FANO,29.5,59,57, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE,29.15,50,48,55,49,0.43,29.25,55,50
SHIELDS,29.3,50,47,57,46,0.14, NaN, NaN, NaN
DONAGHADEE,29.22,49,48,59,47,0.03, NaN, NaN, NaN
SCARBOROUGH,29.37,52,50,56,44,0.38,29.38,55,54
YORK,999,52,49,62,42,0.16, NaN, NaN, NaN
CUXHAVEN,29.58,57,55,68,999,0.09, NaN, NaN, NaN
LIVERPOOL,999,999,999,999,999,999, NaN, NaN, NaN
HOLYHEAD,29.4,52,49,61,51,0.02,29.4,58,53
KINGSTOWN,29.38,51,47,59,50,0.01, NaN, NaN, NaN
HELDER,29.51,55,999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM,29.48,53,49,59,44,0.23, NaN, NaN, NaN
YARMOUTH,29.54,51,49,65,47,0.15, NaN, NaN, NaN
CAMBRIDGE,29.54,52,48,68,44,0.51, NaN, NaN, NaN
VALENTIA,29.61,55,51,63,50,0.24,29.43,56,52
ROCHESPOINT,29.57,53,50,58,48,0.18, NaN, NaN, NaN
OXFORD,29.56,53,50,61,45,0.47, NaN, NaN, NaN
PEMBROKE,29.54,56,50,58,50,0.07, NaN, NaN, NaN
LONDON,29.59,56,51,66,44,0.22,29.51,60,54
PORTISHEAD,29.55,57,54,64,46,0.67, NaN, NaN, NaN
DOVER,29.62,52,49,64,49,0.35, NaN, NaN, NaN
CAPGRISNEZ,29.62,55,51,66,50,0.55, NaN, NaN, NaN
BRUSSELS,29.66,54, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HURSTCASTLE,29.65,58,54,68,52,0.22, NaN, NaN, NaN
PLYMOUTH,29.66,55,53,63,50,0.1, NaN, NaN, NaN
SCILLY,29.72,56,51,59,53,0.04,29.61,57,54
CHARLEVILLE,999,54, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS,999,55,999,74,54,0.32, NaN, NaN, NaN
BREST,29.84,57,57,62,51,0.12, NaN, NaN, NaN
LORIENT,29.8,57,52,65,53,0.16, NaN, NaN, NaN
ROCHEFORT,29.88,58,56,69,57,0.55,29.89,70,63
LYONS,999,66, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ,29.99,64,62,69,63,0.08, NaN, NaN, NaN
CORUNNA,999,999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON,30,63,61,68,61,1.83, NaN, NaN, NaN
