1863,10,20,Tuesday,DWR_1863_10-16.jpg
NAIRN,29.85,43,3,0.1
ABERDEEN,29.88,47,3,0
LEITH,29.94,49,999,0
SHIELDS,30.01,49,2,0.78
SCARBOROUGH,29.99,51,2,0.77
GREENCASTLE,30.01,47,1,0.07
GALWAY,30.08,48,2,0.25
VALENTIA,30.09,48,2,0.27
QUEENSTOWN,29.98,50,1,0.14
LIVERPOOL,30.05,52,1,0.29
HOLYHEAD,29.94,55,1,0.7
PEMBROKE,30.05,53,1,999
PENZANCE,30.09,55,1,0
BREST,30.12,55,1,0
LORIENT,30.12,57,3,0
ROCHEFORT,30.16,48,1,0
PLYMOUTH,30.16,57,1,0
WEYMOUTH,30.08,57,2,0.08
PORTSMOUTH,30.09,58,3,0.08
LONDON,30.08,57,2,0
DOVER,30.09,60,2,0
YARMOUTH,30.02,57,2,0
HELIGOLAND,30.02,57,0,0
