1862,9,2,Tuesday,DWR_1862_09-1.jpg
NAIRN,29.84,52,51,0
ABERDEEN,999,59,57,0
LEITH,29.83,57,54,0
BERWICK,29.91,57,54,0
ARDROSSAN,29.77,57,54,0
PORTRUSH,29.85,59,56,0
GALWAY,29.82,58,57,0
VALENTIA,29.8,55,54,0.12
QUEENSTOWN,29.86,58,56,0
HOLYHEAD,29.81,59,56,0
LIVERPOOL,29.87,56,53,0.07
PEMBROKE,29.86,55,54,0
PENZANCE,29.92,59,58,0
PLYMOUTH,29.88,58,54,0
JERSEY,29.85,61,58,0
WEYMOUTH,29.83,58,56,0
PORTSMOUTH,29.78,60,57,0.1
DOVER,29.77,62,59,0
LONDON,29.8,57,55,0.04
YARMOUTH,29.76,61,57,0
SCARBOROUGH,29.85,57,56,0
SHIELDS,29.87,55,53,0
HELIGOLAND,30,59,55,0
HELDER,29.81,61,999,0
COPENHAGEN,30.18,60,999,0
BREST,29.91,54,999,0
BAYONNE,999,64,999,0
LISBON,30.06,67,999,0
