1863,8,18,Tuesday,DWR_1863_08-15.jpg
NAIRN,29.61,55,2,0.1
ABERDEEN,29.56,55,2,0
LEITH,29.65,58,4,0
SHIELDS,29.65,56,3,0
SCARBOROUGH,29.64,56,4,0
GREENCASTLE,29.84,55,2,0.7
GALWAY,30.03,58,3,0
VALENTIA,30.11,58,6,0.16
QUEENSTOWN,29.77,59,3,0
LIVERPOOL,29.78,56,2,0.13
HOLYHEAD,29.81,57,2,0
PEMBROKE,29.94,55,3,0.3
PENZANCE,30.04,58,2,0.2
BREST,30.04,59,999,0.16
LORIENT,29.92,59,3,0
ROCHEFORT,30.08,64,4,0
PLYMOUTH,29.94,58,4,0
WEYMOUTH,29.87,60,5,0.08
PORTSMOUTH,29.82,60,4,0.17
LONDON,29.81,57,4,0.09
DOVER,29.8,62,4,0
YARMOUTH,29.69,56,3,0
HELIGOLAND,29.63,58,0,0.2
