1863,4,11,Saturday,DWR_1863_04-9.jpg
NAIRN,29.68,40,1,0.55
ABERDEEN,29.7,46,1,0.75
LEITH,29.73,47,2,0
ARDROSSAN,29.81,46,2,0.8
PORTRUSH,29.82,45,999,0
GALWAY,29.92,48,2,0.25
VALENTIA,29.95,57,2,0.14
QUEENSTOWN,29.92,48,1,0
HOLYHEAD,29.85,48,2,0.52
LIVERPOOL,29.86,47,3,0.8
PEMBROKE,29.78,44,2,0.38
PENZANCE,29.87,46,1,0.2
BREST,29.8,48,1,1.89
LORIENT,29.76,48,0,0.2
ROCHEFORT,29.84,50,1,0.12
PLYMOUTH,29.85,48,3,0.71
WEYMOUTH,29.85,47,1,999
PORTSMOUTH,29.78,52,2,0.25
KEW,29.82,999,3,0
LONDON,29.8,52,3,0
DOVER,29.79,52,1,0.68
YARMOUTH,29.82,50,1,0
SCARBOROUGH,29.77,49,2,0.45
SHIELDS,29.79,51,3,0.4
HELIGOLAND,30.11,43,1,0
COPENHAGEN,30.2,43,999,0
HELDER,29.91,49,999,0
LISBON,999,999,999,999
