1862,1,15,Wednesday,DWR_1862_01-15.jpg
NAIRN,29.76,36,34,999
ABERDEEN,29.86,39,38,999
LEITH,29.89,41,39,999
BERWICK,29.94,39,37,999
ARDROSSAN,29.9,41,39,999
PORTRUSH,29.83,38,37,999
SHIELDS,29.96,40,38,999
GALWAY,29.88,44,43,999
SCARBOROUGH,29.97,40,37,0.39
LIVERPOOL,29.97,39,38,0.05
VALENTIA,29.94,47,46,0.08
QUEENSTOWN,29.95,43,42,999
YARMOUTH,29.98,37,35,999
LONDON,29.95,42,40,0.01
DOVER,29.93,40,39,999
PORTSMOUTH,29.96,40,39,999
PORTLAND,29.97,39,37,0.06
PLYMOUTH,29.98,38,36,999
PENZANCE,30.01,39,38,999
COPENHAGEN,30.06,34,999,999
HELDER,29.97,28,999,999
BREST,29.98,40,999,999
BAYONNE,29.85,44,999,999
LISBON,29.91,50,999,999
