1863,7,6,Monday,DWR_1863_07-4.jpg
NAIRN,30.25,58,3,0
ABERDEEN,30.36,59,3,0
LEITH,30.28,61,4,0
SHIELDS,30.37,60,6,0
SCARBOROUGH,30.37,58,2,0
GREENCASTLE,30.16,63,4,0
GALWAY,30.01,66,4,0
VALENTIA,999,999,999,999
QUEENSTOWN,30.04,62,2,0
LIVERPOOL,30.29,60,5,0
HOLYHEAD,30.18,67,5,0
PEMBROKE,30.17,63,5,0
PENZANCE,30.09,62,1,0
BREST,30.08,70,7,0
LORIENT,30.08,68,5,0
ROCHEFORT,30.12,68,5,0
PLYMOUTH,30.17,66,6,0
WEYMOUTH,30.24,64,4,0
PORTSMOUTH,30.25,65,6,0
LONDON,30.33,64,5,0
DOVER,30.34,65,3,0
YARMOUTH,30.37,62,4,0
HELDER,30.4,62,999,0
HELIGOLAND,30.41,58,2,0
