1862,12,30,Tuesday,DWR_1862_12-26.jpg
NAIRN,29.26,39,1,0.17
ABERDEEN,29.25,39,1,0
LEITH,29.29,43,2,0
ARDROSSAN,29.34,45,2,0.19
PORTRUSH,?29.82,44,1,0
GALWAY,29.68,37,2,0
VALENTIA,29.74,45,3,0.19
QUEENSTOWN,29.65,41,1,0
HOLYHEAD,29.42,45,2,0
LIVERPOOL,29.4,45,2,0.16
PEMBROKE,29.54,40,3,0
PENZANCE,29.61,45,2,0.15
PLYMOUTH,29.54,40,1,0
WEYMOUTH,29.53,41,2,0.09
PORTSMOUTH,29.45,44,2,0.3
LONDON,29.47,44,2,0.2
YARMOUTH,29.45,41,1,0
COPENHAGEN,29.52,39,999,0
HELDER,29.49,44,999,0
HELIGOLAND,29.49,42,0,0
SCARBOROUGH,29.31,41,2,0.35
SHIELDS,29.29,42,3,0
BREST,29.59,45,2,0.71
JERSEY,29.52,45,2,0.25
LORIENT,29.52,46,1,0.51
ROCHEFORT,29.37,48,2,0.63
BAYONNE,999,50,999,0
