1862,6,9,Monday,DWR_1862_06-7.jpg
NAIRN,29.9,52,49,0.3
ABERDEEN,29.86,54,50,0
LEITH,29.86,56,52,0
BERWICK,29.89,55,50,0
ARDROSSAN,29.9,54,51,0.19
PORTRUSH,29.93,54,53,0
GALWAY,30,60,55,0
SHIELDS,29.92,54,50,0
SCARBOROUGH,29.94,54,52,0
HELIGOLAND,30.02,?60,58,0
LIVERPOOL,29.99,56,52,0.01
QUEENSTOWN,30.03,55,53,0
VALENTIA,30.03,57,52,0.25
YARMOUTH,30.01,55,52,0
LONDON,30.04,55,51,0.13
DOVER,30.02,57,54,0
PORTSMOUTH,30.05,57,52,0
PORTLAND,30.05,59,55,0
PLYMOUTH,30.03,59,55,0
PENZANCE,30.1,54,52,0.17
JERSEY,30.12,59,56,0.27
COPENHAGEN,999,999,999,999
HELDER,30.01,58,999,0
BREST,30.23,52,999,0
BAYONNE,999,59,999,0
LISBON,30.23,66,999,0
