1863,8,31,Monday,DWR_1863_08-26.jpg
NAIRN,29.94,41,1,1.5
ABERDEEN,29.91,50,0,0.25
LEITH,29.87,55,4,0.1
SHIELDS,29.82,58,2,0.92
SCARBOROUGH,29.77,60,2,0.22
GREENCASTLE,29.93,54,4,0.05
GALWAY,30,56,5,0
VALENTIA,30.03,56,4,0.08
QUEENSTOWN,999,55,3,0
LIVERPOOL,29.76,57,2,0.05
HOLYHEAD,29.79,56,2,0.15
PEMBROKE,29.81,55,1,0.62
PENZANCE,29.92,57,2,0.45
BREST,30,59,3,1.06
LORIENT,29.92,61,4,0.24
ROCHEFORT,29.96,63,2,0
PLYMOUTH,29.93,57,2,0.64
WEYMOUTH,29.75,58,3,0.41
PORTSMOUTH,29.66,60,4,999
LONDON,29.72,58,3,0.03
DOVER,29.82,65,3,0.5
YARMOUTH,29.83,62,3,0.35
HELIGOLAND,30.05,60,0,0.38
