1862,6,26,Thursday,DWR_1862_06-29.jpg
NAIRN,29.9,52,48,0.13
ABERDEEN,29.87,55,51,0.13
LEITH,29.9,59,53,0
BERWICK,29.91,59,55,0
ARDROSSAN,29.96,54,51,0
PORTRUSH,?30.03,54,52,0
GALWAY,30.17,55,54,0
VALENTIA,30.19,56,55,0
QUEENSTOWN,30.18,61,58,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.98,57,55,0
PENZANCE,30.21,60,59,0
PLYMOUTH,?30.15,59,54,0
JERSEY,30.19,62,59,0
PORTLAND,30.14,61,57,0
PORTSMOUTH,30.12,60,57,0
DOVER,30.11,66,61,0
LONDON,30.11,59,55,0
YARMOUTH,30.05,58,54,0
SCARBOROUGH,29.98,59,55,0
SHIELDS,29.95,59,55,0
HELIGOLAND,29.99,53,50,0
HELDER,30.06,55,999,0
COPENHAGEN,999,999,999,999
BREST,30.18,53,999,0
BAYONNE,999,67,999,0
LISBON,30,70,999,0
