1863,5,1,Friday,DWR_1863_05-0.jpg
NAIRN,30.16,53,3,0
ABERDEEN,30.17,55,5,0.13
LEITH,30.23,53,3,0
ARDROSSAN,30.29,49,2,0.28
PORTRUSH,30.31,48,2,0
GALWAY,30.35,53,1,0.25
VALENTIA,30.37,53,1,0
QUEENSTOWN,30.34,53,1,0
HOLYHEAD,30.29,49,3,0
LIVERPOOL,30.33,48,4,0
PEMBROKE,30.33,45,4,0
PENZANCE,30.31,48,3,0
BREST,30.2,48,4,0.04
LORIENT,30.08,46,4,0
ROCHEFORT,29.92,46,4,0
PLYMOUTH,30.29,49,6,0
WEYMOUTH,30.28,47,5,0
PORTSMOUTH,30.25,46,6,0
KEW,30.31,45,5,0
LONDON,30.29,43,3,0.4
DOVER,30.24,46,2,0.15
YARMOUTH,30.27,47,1,0
SCARBOROUGH,30.25,45,2,0
SHIELDS,30.22,49,3,0
HELIGOLAND,30.22,45,1,0
COPENHAGEN,30.11,46,999,0
HELDER,30.26,46,999,0
LISBON,29.6,53,999,0
