1863,6,29,Monday,DWR_1863_06-25.jpg
NAIRN,29.84,52,2,0.25
ABERDEEN,29.81,55,3,0.6
LEITH,29.85,60,7,0
SHIELDS,29.9,60,5,0
SCARBOROUGH,29.9,57,3,0
GREENCASTLE,29.9,56,4,0.23
GALWAY,29.99,60,999,0.45
VALENTIA,30.07,60,5,0.19
QUEENSTOWN,30.02,57,3,0.12
LIVERPOOL,29.96,56,4,0
HOLYHEAD,29.91,57,2,0
PEMBROKE,999,999,999,999
PENZANCE,30.07,57,1,0
BREST,30.08,57,4,0.08
LORIENT,30.04,57,3,0
ROCHEFORT,30.04,59,0,0.43
PLYMOUTH,30.05,60,4,0
WEYMOUTH,30.03,59,5,0
PORTSMOUTH,30,60,5,0
LONDON,30.01,58,7,0
DOVER,30.03,999,4,0
YARMOUTH,29.98,59,1,0
HELDER,29.98,61,999,0
HELIGOLAND,29.98,55,2,0.09
