1861,12,23,Monday,DWR_1861_12-20.jpg
NAIRN,30.48,28,999,999
ABERDEEN,30.48,33,32,999
LEITH,30.49,41,39,999
BERWICK,30.45,39,36,999
ARDROSSAN,30.53,37,35,999
PORTRUSH,30.49,43,42,999
SHIELDS,30.5,42,40,999
GALWAY,30.42,42,41,999
SCARBOROUGH,30.46,43,40,999
LIVERPOOL,30.43,43,40,999
VALENTIA,30.36,41,39,999
QUEENSTOWN,30.35,45,43,999
YARMOUTH,30.44,43,41,999
LONDON,30.38,42,40,999
DOVER,30.32,43,42,999
PORTSMOUTH,30.34,43,42,999
PORTLAND,999,999,999,999
PLYMOUTH,30.31,44,42,999
PENZANCE,30.27,45,44,999
COPENHAGEN,30.19,29,999,999
HELDER,30.38,42,999,999
BREST,30.11,37,999,999
BAYONNE,29.89,39,999,999
LISBON,999,999,999,999
