1861,12,16,Monday,DWR_1861_12-14.jpg
NAIRN,30.08,49,47,0.37
ABERDEEN,30.11,42,40,999
LEITH,30.15,49,48,999
BERWICK,30.13,47,45,999
ARDROSSAN,30.24,50,49,0.2
PORTRUSH,30.25,49,48,999
SHIELDS,30.18,50,48,999
GALWAY,30.39,46,45,999
SCARBOROUGH,30.16,47,46,999
LIVERPOOL,30.27,49,48,0.15
VALENTIA,30.43,48,47,999
QUEENSTOWN,30.39,47,46,999
YARMOUTH,30.24,46,45,999
LONDON,30.25,47,46,999
DOVER,30.22,50,49,999
PORTSMOUTH,30.3,49,47,999
PORTLAND,30.3,50,49,999
PLYMOUTH,30.31,49,48,999
PENZANCE,30.39,49,48,999
COPENHAGEN,?30.03,36,999,999
HELDER,30.13,42,999,999
BREST,30.37,45,999,999
BAYONNE,30.29,53,999,999
LISBON,999,999,999,999
