1863,7,3,Friday,DWR_1863_07-2.jpg
NAIRN,30.12,52,3,0.15
ABERDEEN,30.09,54,5,0.07
LEITH,30.08,62,5,0
SHIELDS,30.16,58,3,0.4
SCARBOROUGH,30.12,59,3,0.56
GREENCASTLE,30.23,57,5,0
GALWAY,30.29,61,4,0
VALENTIA,30.31,57,2,0.08
QUEENSTOWN,30.26,60,2,0
LIVERPOOL,30.18,60,4,0.08
HOLYHEAD,30.17,58,2,0
PEMBROKE,30.23,58,9,0
PENZANCE,30.26,61,1,0
BREST,30.33,59,999,0
LORIENT,30.24,59,3,0
ROCHEFORT,30.28,61,2,0
PLYMOUTH,30.24,63,5,0
WEYMOUTH,30.21,64,4,0
PORTSMOUTH,30.17,60,4,0
LONDON,30.17,61,5,0
DOVER,30.18,999,999,0
YARMOUTH,30.11,60,3,0
HELDER,30.05,59,999,0
HELIGOLAND,29.89,59,1,0.07
