1863,12,1,Tuesday,DWR_1863_12-0.jpg
NAIRN,29.56,39,2,0
ABERDEEN,29.68,44,2,0
LEITH,29.61,41,2,0
SHIELDS,29.81,49,4,0
SCARBOROUGH,29.84,43,3,0
GREENCASTLE,29.26,49,2,0.1
GALWAY,29.24,47,1,0.5
VALENTIA,999,999,999,999
QUEENSTOWN,29.33,51,2,0
LIVERPOOL,29.69,41,1,0
HOLYHEAD,29.47,48,0,0.09
PEMBROKE,29.59,50,1,0.15
PENZANCE,29.66,52,1,0.15
BREST,29.76,52,0,0.08
LORIENT,29.61,52,0,0.04
ROCHEFORT,30,46,0,0
PLYMOUTH,29.71,50,1,0.21
WEYMOUTH,29.78,50,2,0.07
PORTSMOUTH,29.84,49,2,0
LONDON,29.87,43,1,0
DOVER,29.93,44,1,0
YARMOUTH,29.92,45,2,0
HELIGOLAND,30.18,33,0,0
