1862,7,9,Wednesday,DWR_1862_07-8.jpg
NAIRN,29.7,55,52,0.11
ABERDEEN,29.73,56,54,0
LEITH,29.72,62,59,0
BERWICK,29.79,58,56,0
ARDROSSAN,29.71,57,55,0.17
PORTRUSH,29.75,54,52,0
GALWAY,29.84,60,59,0
VALENTIA,29.89,59,58,0.1
QUEENSTOWN,29.89,62,60,0
MILFORD,999,999,999,999
HOLYHEAD,29.84,57,56,0
LIVERPOOL,29.9,60,59,0.23
PENZANCE,30.09,60,59,0
PLYMOUTH,30.06,60,59,0
JERSEY,30.2,62,58,0
PORTLAND,30.1,60,58,0.07
PORTSMOUTH,30.11,60,58,0
DOVER,30.1,65,60,0
LONDON,30.07,60,57,0
YARMOUTH,30.04,60,55,0
SCARBOROUGH,29.88,59,57,0
SHIELDS,29.83,61,57,0
HELIGOLAND,30.05,56,54,0
HELDER,30.06,61,999,0
COPENHAGEN,999,999,999,999
BREST,30.18,59,999,0
BAYONNE,999,54,999,0
LISBON,999,999,999,999
