1862,7,31,Thursday,DWR_1862_07-30.jpg
NAIRN,29.7,59,55,0.19
ABERDEEN,29.76,54,53,0.09
LEITH,999,61,59,0
BERWICK,29.77,59,57,0
ARDROSSAN,29.73,58,56,0.8
PORTRUSH,29.77,52,48,0.15
GALWAY,29.8,60,59,0.55
VALENTIA,29.89,60,59,0.14
QUEENSTOWN,29.92,58,57,0.62
HOLYHEAD,29.88,58,57,0.7
LIVERPOOL,29.93,61,58,0.46
PEMBROKE,30.06,60,59,0
PENZANCE,30.14,63,61,0
PLYMOUTH,30.11,64,60,0
JERSEY,30.24,63,59,0
WEYMOUTH,30.15,63,60,0
PORTSMOUTH,30.14,62,58,0
DOVER,30.16,63,60,0
LONDON,30.14,60,56,0.01
YARMOUTH,30.09,59,55,0
SCARBOROUGH,29.9,57,55,0
SHIELDS,29.83,62,58,0
HELIGOLAND,30.1,59,56,0
HELDER,30.13,61,999,0
COPENHAGEN,999,999,999,999
BREST,30.22,58,999,0
BAYONNE,999,71,999,0
LISBON,30.04,76,999,0
