1863,6,18,Thursday,DWR_1863_06-16.jpg
NAIRN,29.89,56,2,0.2
ABERDEEN,29.91,53,2,0.25
LEITH,29.89,57,2,0.12
ARDROSSAN,29.88,58,2,0
GREENCASTLE,29.86,58,2,0.08
GALWAY,29.86,59,4,0
VALENTIA,29.84,57,4,0
QUEENSTOWN,29.82,59,2,0
SHIELDS,29.92,58,3,0.1
SCARBOROUGH,29.89,56,2,0.7
LIVERPOOL,29.9,59,4,0
HOLYHEAD,29.85,59,3,0
PEMBROKE,29.89,57,2,0
PENZANCE,29.85,56,1,0.15
BREST,29.8,57,2,0
LORIENT,29.8,59,999,0
ROCHEFORT,29.8,63,3,0
BAYONNE,29.76,68,999,0
PLYMOUTH,29.87,55,1,0
WEYMOUTH,29.89,57,2,0
PORTSMOUTH,29.89,58,3,0
LONDON,29.91,62,4,0
DOVER,29.91,63,3,0
YARMOUTH,29.88,59,2,0
HELDER,29.9,57,999,0
HELIGOLAND,29.85,57,0,0.27
COPENHAGEN,29.89,999,999,0
LISBON,999,999,999,999
