1862,3,4,Tuesday,DWR_1862_03-2.jpg
NAIRN,29.5,22,999,0
ABERDEEN,29.48,28,999,0
LEITH,29.56,31,999,0
BERWICK,29.56,29,999,0
ARDROSSAN,29.6,33,30,0
PORTRUSH,29.64,30,999,0
GALWAY,29.76,33,30,0
SHIELDS,29.58,26,999,0
SCARBOROUGH,29.59,31,999,0
HELIGOLAND,29.49,35,?34,0
LIVERPOOL,?29.74,32,31,0
QUEENSTOWN,29.79,35,33,0
VALENTIA,29.81,35,34,0.2
YARMOUTH,29.59,34,31,0
LONDON,29.62,30,999,0
DOVER,29.6,32,31,0
PORTSMOUTH,29.61,28,999,0
PORTLAND,29.64,33,31,0
PLYMOUTH,29.61,32,31,0.2
PENZANCE,29.69,37,35,0.25
COPENHAGEN,29.35,26,999,0
HELDER,29.56,33,999,0
BREST,29.68,35,999,0
BAYONNE,29.76,52,999,0
LISBON,999,999,999,999
