1862,9,10,Wednesday,DWR_1862_09-8.jpg
NAIRN,29.9,45,44,0
ABERDEEN,29.91,51,46,0
LEITH,29.94,54,49,0
BERWICK,29.97,52,48,0
ARDROSSAN,29.94,55,51,0
PORTRUSH,29.98,58,55,0
GALWAY,30.07,53,50,0
VALENTIA,30.16,58,55,0
QUEENSTOWN,30.1,54,52,0
HOLYHEAD,30.01,57,54,0
LIVERPOOL,30.02,56,52,0.12
PEMBROKE,30.04,55,54,0.24
PENZANCE,30.05,57,56,0.27
PLYMOUTH,30.01,57,53,0.25
JERSEY,29.97,60,59,0.26
WEYMOUTH,29.97,56,54,0.52
PORTSMOUTH,29.9,57,56,0.62
DOVER,29.9,61,59,0.42
LONDON,29.95,57,55,0.25
YARMOUTH,29.91,58,56,0
SCARBOROUGH,29.97,54,51,0.18
SHIELDS,29.96,50,47,0
HELIGOLAND,29.96,60,59,0
HELDER,29.86,58,999,0
COPENHAGEN,29.97,62,999,0
BREST,29.97,57,999,0
BAYONNE,999,999,999,0
LISBON,30.02,69,999,0
