1862,3,10,Monday,DWR_1862_03-7.jpg
NAIRN,29.57,43,42,0.2
ABERDEEN,29.58,44,42,0.32
LEITH,29.69,46,43,0
BERWICK,29.68,47,44,0
ARDROSSAN,29.8,46,44,0.23
PORTRUSH,29.81,44,42,0.5
GALWAY,29.9,49,48,0
SHIELDS,29.73,47,44,0
SCARBOROUGH,29.75,47,46,0.23
HELIGOLAND,29.95,44,43,0
LIVERPOOL,29.86,46,44,0.05
QUEENSTOWN,29.95,51,50,0
VALENTIA,29.9,56,55,0.3
YARMOUTH,29.87,47,46,0
LONDON,29.88,46,44,0.21
DOVER,29.88,48,47,0.2
PORTSMOUTH,29.87,46,45,0.25
PORTLAND,29.94,47,46,0.12
PLYMOUTH,29.94,47,46,0
PENZANCE,30.07,47,46,0
COPENHAGEN,30.01,36,999,0
HELDER,29.9,45,999,0
BREST,30.05,47,999,0
BAYONNE,999,52,999,0
LISBON,30.36,57,999,0
