1862,9,5,Friday,DWR_1862_09-4.jpg
NAIRN,29.88,54,53,0.3
ABERDEEN,29.87,55,53,0
LEITH,29.88,55,52,0
BERWICK,29.88,56,54,0.32
ARDROSSAN,29.85,54,52,0
PORTRUSH,29.78,58,56,0
GALWAY,29.99,56,52,0
VALENTIA,999,999,999,999
QUEENSTOWN,29.98,54,53,0
HOLYHEAD,29.84,57,53,0.15
LIVERPOOL,29.96,53,51,0.81
PEMBROKE,29.84,57,56,0
PENZANCE,29.9,58,57,0.25
PLYMOUTH,29.84,58,55,0
JERSEY,29.84,57,54,0
WEYMOUTH,29.81,58,55,0
PORTSMOUTH,29.77,54,50,0
DOVER,29.78,59,57,0
LONDON,29.82,52,50,0
YARMOUTH,29.83,55,52,0
SCARBOROUGH,29.84,55,54,0.25
SHIELDS,29.86,54,50,0
HELIGOLAND,29.85,59,57,0
HELDER,29.83,59,999,0
COPENHAGEN,29.85,62,999,0
BREST,29.88,53,999,0
BAYONNE,999,60,999,0
LISBON,30.12,65,999,0
