1862,9,22,Monday,DWR_1862_09-19.jpg
NAIRN,30.34,50,47,0
ABERDEEN,30.35,51,47,0
LEITH,30.37,54,48,0
BERWICK,30.4,55,50,0
ARDROSSAN,30.35,54,53,0
PORTRUSH,30.4,58,56,0
GALWAY,30.26,53,51,0
VALENTIA,30.2,55,48,0
QUEENSTOWN,30.22,58,57,0
HOLYHEAD,30.3,56,55,0
LIVERPOOL,30.35,53,47,0
PEMBROKE,30.29,53,50,0
PENZANCE,30.17,55,54,0
PLYMOUTH,30.2,56,52,0
JERSEY,30.15,58,57,0
WEYMOUTH,30.21,56,51,0
PORTSMOUTH,30.21,55,50,0
DOVER,30.28,58,56,0
LONDON,30.28,57,55,0
YARMOUTH,30.3,56,54,0
SCARBOROUGH,30.33,54,50,0
SHIELDS,30.38,52,47,0
HELIGOLAND,30.27,53,46,0
HELDER,30.26,999,999,0
COPENHAGEN,30.3,48,999,0
BREST,30.03,57,999,0
BAYONNE,999,60,999,0
LISBON,999,999,999,999
