1863,3,26,Thursday,DWR_1863_03-22.jpg
NAIRN,30,44,4,0
ABERDEEN,29.96,46,6,0
LEITH,30.02,51,5,0
ARDROSSAN,30.13,48,2,0.18
PORTRUSH,30.25,49,1,0
GALWAY,30.41,51,0,0
VALENTIA,30.51,50,1,0.08
QUEENSTOWN,30.47,51,1,0
HOLYHEAD,30.31,50,1,0
LIVERPOOL,30.28,50,3,0
PEMBROKE,30.45,49,2,0
PENZANCE,30.51,49,1,0
BREST,30.47,46,2,0
LORIENT,30.39,45,1,0
ROCHEFORT,30.36,45,2,0
PLYMOUTH,30.47,53,2,0
WEYMOUTH,30.44,48,3,0
PORTSMOUTH,30.4,47,3,0
KEW,30.38,45,3,0
LONDON,30.36,44,3,0
DOVER,30.34,49,3,0
YARMOUTH,30.29,44,2,0
SCARBOROUGH,30.14,49,3,0
SHIELDS,30.15,52,3,0
HELIGOLAND,30.13,44,0,0
COPENHAGEN,?29.48,44,999,0
HELDER,30.23,46,999,0
LISBON,30.29,55,999,0
