1862,4,10,Thursday,DWR_1862_04-8.jpg
NAIRN,30.24,48,46,0
ABERDEEN,30.23,40,39,0
LEITH,30.22,45,43,0
BERWICK,30.23,48,45,0
ARDROSSAN,30.22,48,46,0
PORTRUSH,30.24,47,46,0
GALWAY,30.22,53,50,0
SHIELDS,?30.19,45,43,0
SCARBOROUGH,30.11,45,43,0
HELIGOLAND,30.31,45,43,0
LIVERPOOL,30.12,45,42,0.02
QUEENSTOWN,30.16,53,52,0
VALENTIA,30.18,55,53,0
YARMOUTH,29.96,46,45,0
LONDON,29.96,45,44,0.67
DOVER,29.96,49,48,0.25
PORTSMOUTH,29.97,45,44,0.08
PORTLAND,30.01,45,43,0.35
PLYMOUTH,30.01,48,46,0.37
PENZANCE,30.09,49,48,0
JERSEY,30.03,48,47,0
COPENHAGEN,30.15,38,999,0
HELDER,29.99,46,999,0
BREST,30.06,48,999,0
BAYONNE,999,56,999,0
LISBON,29.93,60,999,0
